category,stance,name,url,package_decision
design_reference,primary,ViV MGMT,https://vivmgmt.com/,"Contained mixed-media gallery; negative space; concise copy; optional BTS"
design_reference,primary,Camp4 Collective,https://camp4collective.com/,"Gray modular project pages; concise context; work high; optional credits"
design_reference,inspiration,BBDO,https://bbdo.com/,"One restrained logo/type motion moment; do not clone proprietary 3D treatment"
design_reference,inspiration,Pangram Pangram,https://pangrampangram.com/,"Heavy advertising-type mood only; designer supplies final licensed face"
design_reference,like,Farm League,https://www.farmleague.us/,"Confident wordmark; small captions; irregular rhythm mainly on detail pages"
design_reference,like,m ss ng p eces,https://mssngpeces.com/,"Operational simplicity and quick media access"
design_reference,like_with_reservations,PRETTYBIRD,https://prettybird.co/us/,"Mixed media proof; reject black/busy shell and news inside work grid"
design_reference,like,WTBR,https://wtbr.tv/,"Simple reel/copy/work logic; keep reel optional and after grid"
design_reference,like,Heist,https://heistprojects.com/,"Large recognizable work and short blurbs; validate links"
design_reference,like,Arts & Sciences,https://artsandsciences.com/,"Typographic restraint and project-first navigation"
design_reference,mixed,Gnarly Bay,https://www.gnarlybay.com/work,"Poster-to-preview behavior; no filters until needed"
design_reference,mixed,Hungry Man,https://hungryman.com/,"Immediate autoplay previews and persistent labels"
design_reference,mixed,Park Pictures,https://parkpictures.com/,"Robust player/related-work mechanics; reject video-only/busy index"
design_reference,mixed,Even/Odd,https://evenodd.studio/,"Integrated project schema; simple menu; collapsible production detail"
design_reference,mixed,Avocados & Coconuts,https://www.avocadosandcoconuts.com/,"Reject main carousel and over-specific adventure branding"
design_reference,avoid,Anonymous Content,https://www.anonymouscontent.com/,"Avoid still-only motion identity and organizational complexity"
design_reference,avoid,Monks,https://www.monks.com/,"No mega-menu, service taxonomy, thought-leadership feed, or long sell"
design_reference,avoid,Caviar Los Angeles,https://caviar.tv/los-angeles/,"Avoid an undifferentiated basic project list"
design_reference,avoid,Corduroy Media Photo,https://www.corduroymedia.com/photo,"No SEO prose or service/category wall above work"
design_reference,avoid,Sanctuary,https://www.sanctuarycontent.com/,"No roster/news density or oversized manifesto"
design_reference,avoid,Somesuch,https://somesuch.co/,"Avoid austere block wall; supply a restrained brand moment"
design_reference,avoid_overall,Study Hall Work,https://www.studyhall.design/work,"Borrow clear navigation only; avoid heavy filters/footer"
creative_deck,reference,New Work creative direction deck,https://docs.google.com/presentation/d/1lbfZpSzx3liC5Y6nZ7Pk8oMdxoDxl0l6FFR7MGaqMlg/edit?usp=sharing,"Four-slide deck archived and rendered in references/creative-direction"
creative_deck,avoid,Tool of North America,https://toolofna.com/,"Explicit off-direction example in deck"
creative_deck,avoid,Pocket Pictures,https://pocketpictures.us/,"Explicit off-direction example in deck"
creative_deck,avoid,BUCK,https://buck.co/,"Explicit off-direction example in deck"
portfolio,michael,Michael / New Work,https://newwork.agency/,"Extracted representative stills, GIFs, and working clips"
portfolio,oliver,Oliver Hamilton,https://oliverhamilton.com/,"Five linked project pages extracted"
portfolio,oliver,Mercury — Helen Mayer,https://oliverhamilton.com/project/mercury-helen-mayer/,"Stills plus Vimeo reference 867257158"
portfolio,oliver,Tour De France x Toyota,https://oliverhamilton.com/project/tour-de-france/,"Stills plus Vimeo reference 758886121"
portfolio,oliver,Humu — Meet Holly,https://oliverhamilton.com/project/humu-meet-holly/,"Stills plus Vimeo reference 790211466"
portfolio,oliver,Olympics & Toyota — Alex Massialas,https://oliverhamilton.com/project/olympics-toyota-alex-massailas/,"Stills plus Vimeo reference 477261846"
portfolio,oliver,Mercury — Josh Fabian,https://oliverhamilton.com/project/mercury-josh-fabian/,"Stills plus Vimeo reference 867257700"
technical,official,Astro why Astro,https://docs.astro.build/en/concepts/why-astro/,"Server-first component architecture"
technical,official,Astro view transitions,https://docs.astro.build/en/guides/view-transitions/,"Optional accessible page transitions"
technical,official,Astro images,https://docs.astro.build/en/guides/images/,"Responsive image implementation"
technical,official,Astro routing,https://docs.astro.build/en/guides/routing/,"Static project routes"
technical,official,Sanity Astro rendering,https://www.sanity.io/docs/astro/static-and-server-rendering,"Static data and rebuild workflow"
technical,official,Sanity images,https://www.sanity.io/docs/apis-and-sdks/presenting-images,"Hotspot/crop and image transforms"
technical,official,Sanity schemas,https://www.sanity.io/docs/studio/schemas-and-forms,"Structured editorial forms"
technical,official,Cloudflare Pages serving,https://developers.cloudflare.com/pages/configuration/serving-pages/,"Static hosting and headers behavior"
