asset_id,person,project,asset_layer,kind,local_path,derived_from,format_or_codec,width_px,height_px,duration_seconds,source_reported_dimensions_or_duration,source_page,source_media_url,derivation,rights_status,publish_status,notes,sha256
nw-72f2aa516325,anjali,Adobe,source,Portfolio still,assets/source/anjali/anjali-adobe-portrait.webp,,webp,750,626,,750×626,https://arao.squarespace.com/new-page-10/,https://images.squarespace-cdn.com/content/v1/56246b41e4b0a77217f66aed/1691454923058-QHE9SDX6KQVMAF0XIPHK/Screen+Shot+2023-08-07+at+2.33.06+PM.png?format=750w,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public portfolio asset supplied through the original brief; confirm project credit and reuse rights.,4b078310ac764a0c25018e30a704faf7d703ff988451e4895ab84de694b4df7a
nw-c68a7bc8657e,anjali,Rakuten,source,Motion-derived still,assets/source/anjali/anjali-rakuten.gif,,gif,600,338,,600×338,https://arao.squarespace.com/rakuten-produced/,https://images.squarespace-cdn.com/content/v1/56246b41e4b0a77217f66aed/1691442725277-0I7ERC6OIE004151VQP5/rakuten.gif?format=1000w,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Static prototype derivative of the public portfolio GIF; obtain an approved motion master before publication.,ea987040f382a79e96ae5bd0662eecb7f927e4eb9a6ac8f06c755a1a8e8f96d5
nw-a7cf225cff83,anjali,Stella Artois,source,Portfolio still,assets/source/anjali/anjali-stella-artois.webp,,webp,1000,563,,1000×563,https://arao.squarespace.com/stella-produced/,https://images.squarespace-cdn.com/content/v1/56246b41e4b0a77217f66aed/1691430784833-K7H7SS36JTUK8ODGHKV9/Daydream+-+Stella+Artois+-+M.+Ward+Feat.+Alia.jpg?format=1000w,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public portfolio asset supplied through the original brief; confirm project credit and reuse rights.,e2ecb13696e435d216e0516e7306384b1e199bb0e64a805397858e8ec88e4d5a
nw-82c62bbcea8b,anjali,Stella Artois — Daydream,source,Owner-supplied source film,assets/source/anjali videos/liev_schreiber_-_daydream_stella_artois (1080p).mp4,,h264,1920,1080,6.015000,,https://arao.squarespace.com/stella-produced/,https://vimeo.com/439413250,Owner-supplied local film,owner-review,prototype-only,Supplied for this build; full project playback uses Vimeo and the local master stays outside public.,6de2ef436d9fae61463478f21ccec8ae2177729aa775e6667a85ee2fb98bd4a9
nw-a8d19ade6c90,anjali,Rakuten — Duet,source,Owner-supplied source film,assets/source/anjali videos/rakuten__duet (1080p).mp4,,h264,1920,1080,30.036667,,https://arao.squarespace.com/rakuten-produced/,https://vimeo.com/479336941,Owner-supplied local film,owner-review,prototype-only,Supplied for this build; full project playback uses Vimeo and the local master stays outside public.,0bcc00847e361b356b35a0c807e4285b9488fb7ffd9155c48e6c0eb9a3238965
nw-bbc1e8d79b52,anjali,Adobe — What Whack Wears,source,Owner-supplied source film,assets/source/anjali videos/what_whack_wears_case_study (1080p).mp4,,h264,1920,1080,93.845000,,https://arao.squarespace.com/new-page-10/,https://vimeo.com/720040595,Owner-supplied local film,owner-review,prototype-only,Supplied for this build; full project playback uses Vimeo and the local master stays outside public.,4318f8a8ed65ed6d1cf2a4b002f79a8d44b4295dab4508ed43c3d90bb41afa43
nw-aa34cac7bf01,oliver,,source,image,assets/source/brand/new-work-letter-kit/preview/new-work-letter-kit-preview.png,,png,1800,290,,,,,,owner-review;replace-with-approved-master,prototype-only,,041d8b70f346e0d2575228f2fcb83a04fa02ea3f6bfb9d24f9483eb9169cf89a
nw-336e0b250156,oliver,,source,image,assets/source/brand/new-work-sentence-clean-letter-kit/preview/new-work-sentence-clean-preview.png,,png,1800,359,,,,,,owner-review;replace-with-approved-master,prototype-only,,bde8aa43d50c25c41c2a209b857f9862897334f095a0d0c2b19cf81b4dd45be5
nw-247ba4583b7a,oliver,,source,image,assets/source/brand/new-work-title-letter-kit/preview/new-work-title-preview.png,,png,1800,290,,,,,,owner-review;replace-with-approved-master,prototype-only,,e072cb8730253845b5480f5ec443c8b6657f13075e602d95b5ad8bb8b7120f4e
nw-aca67d8272b3,michael,Arc,source,Still / WebP,assets/source/michael/michael_arc_product.webp,,webp,2500,2500,,2500×2500,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/79cb415f-8c93-4840-b569-898b15f23b97/Arc-ProductImage-bkg-2Colors-oneCord-KS.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Project label is filename-derived; source depicts a paired corded product; served as WebP.,761b36cbece92988ac9e1636231a8ea918c94662b64fbfa9fcb2c9fa6740f159
nw-36346a229d1a,michael,Brava,source,Animated GIF,assets/source/michael/michael_brava.gif,,gif,1015,1015,,1015×1015; 4.0 s; 8 frames,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/a3cc085e-b26d-4d7f-aec1-100d7e344035/brava-gif.gif,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Project label is filename-derived. Source GIF is retained.,06d9d3e90108882c5adbc381641370588efac135cdd6b8483e50dc8aa0dc18b0
nw-2b6d2e20496b,michael,Brava,source,working MP4 extract,assets/source/michael/michael_brava_clip.mp4,,h264,1080,1080,6.000000,1080×1080; 6.0 s,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/a3cc085e-b26d-4d7f-aec1-100d7e344035/brava-gif.gif,Six-second silent H.264 loop derived from the public GIF above,owner-review;replace-with-approved-master,prototype-only,Working web extract; request the original master for production.,a37a2542d23afc820a0478d0f89c0ee343a329ad3f3ab137877ac3f78846840c
nw-e422f1227e63,michael,Chanel test,source,Still / WebP,assets/source/michael/michael_chanel_test.webp,,webp,2290,2290,,2290×2290,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/1685743318588-725BDQMYI24GPBSZBERY/2022-6-28%2Bchanel%2Btest5899.jpg,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only;do-not-publish-without-explicit-approval,Filename calls this a test; do not publish under Chanel without explicit approval. Served as WebP.,65162216c7315429b9e57be261577e91f6c18cddff70a25a32f3e4bb59c3582b
nw-ed9b9b337cf0,michael,Cradlewise,source,Still / WebP,assets/source/michael/michael_cradlewise_desktop.webp,,webp,1594,1993,,1594×1993,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/1686338034344-6A6Z3XVHU59W0SE3377M/2022-10-6%2BCRADLEWISE%2BDAY%2B2%2Bdesktop3793-Edit-Edit-Edit.jpg,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Project label is filename-derived; served as WebP.,37696a104247d9a7833ccc1c83c9ed3eb77ff159f860362624dab9dab35fe483
nw-169864f00db1,michael,Dune / Tansy,source,Still / WebP,assets/source/michael/michael_dune_tansy.webp,,webp,2500,2000,,2500×2000,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/1771806887864-M9SEZ4ZJ6FMRJAXU8FBN/2022-9-8%2BDUNE%2BTANSY21219-Edit.jpg,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Project label is filename-derived and ambiguous; served as WebP.,059b863285e8dcc33fedfa5f9d8b13089463e53940c8c60b543995960637f9ad
nw-719e68102568,michael,Fellow,source,Still / WebP,assets/source/michael/michael_fellow.webp,,webp,2500,2322,,2500×2322,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/ff196836-edc8-4d2e-90a9-f1462f0bb31e/fellow+33.jpg,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Project label is filename-derived; served as WebP.,1879103a91e0683f5b8dc4f49ce721387e629fc869af47f006a9d0b1121b21a6
nw-78ffc8f24d20,michael,Miss Jones — pancake,source,Still / WebP,assets/source/michael/michael_miss_jones_pancake.webp,,webp,2500,3125,,2500×3125,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/fefb80b3-7bf1-4bce-932e-5ba7cbf20c43/2022-2-8+miss+jones+pancake20040.jpg,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Project label is filename-derived; served as WebP.,488b80fb5cf47f899feb0875bc61117b689b196b763c979cbfd466d8a53c1b1c
nw-48ca448f5cab,michael,Molekule — in-office,source,Still / WebP,assets/source/michael/michael_molekule_office.webp,,webp,1667,1667,,1667×1667,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/1771807892071-GNLRQ2TV8SJ96Z6FMWCM/2021-4-16%252Bmolekule%252Binoffice%252Bshoot6020-Edit.jpg,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Project label is filename-derived; served as WebP.,f794580943601c3d65295ca0652a3fd660d4fce597222c3a2191bd0fc5ef7da0
nw-7692976597cb,michael,Native — Cucumber Mint Pride,source,Still / WebP,assets/source/michael/michael_native_cucumber_mint_pride.webp,,webp,2500,3124,,2500×3124,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/1685742979023-28O1R6MEMUVOD2ZT2CQV/2021_DEC_NATIVE_CUCUMBER-MINT_BW_PRIDE_0025_BD.jpg,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Project label is filename-derived; served as WebP.,f5dac235d603609f2236bb2314057be58321175e7a5035d55b902095dbd935a8
nw-cb9110e8c86a,michael,Unnamed native portfolio video,source,working MP4 extract,assets/source/michael/michael_native_portfolio_video_clip.mp4,,h264,640,360,8.008000,640×360; 8.008 s,https://newwork.agency/,https://video.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/559c4520-7336-431b-bd72-8ba8ab4c7c78/playlist.m3u8,"First eight seconds of the directly hosted Squarespace video, transcoded silently to H.264",owner-review;replace-with-approved-master,prototype-only,Portfolio metadata gives an 88.5885 s source at 16:9 but supplies no title or client. Confirm the project before use.,9f241a86ae9ffb250df45bbd22fbf8f23bcbdbaa1b9bbec7e5d52fe9957a7ff9
nw-1bf4d9990605,michael,Native — stop motion,source,Animated GIF,assets/source/michael/michael_native_stop_motion.gif,,gif,1166,1166,,1166×1166 canvas; 2.4 s; 12 frames,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/acf7abef-3426-4f4e-b295-229bf6b016f8/NATIVE_Stop_Motion_02_Working_1920x1080.gif,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Project label is filename-derived. Source GIF is retained.,07c0a6a1301246d25041a3da6259696d1ae189324b6857f83c346249c427f372
nw-452e7cff7154,michael,Native — stop motion,source,working MP4 extract,assets/source/michael/michael_native_stop_motion_clip.mp4,,h264,1080,1080,6.000000,1080×1080; 6.0 s,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/acf7abef-3426-4f4e-b295-229bf6b016f8/NATIVE_Stop_Motion_02_Working_1920x1080.gif,Six-second silent H.264 loop derived from the public GIF above,owner-review;replace-with-approved-master,prototype-only,Working web extract; request the original master for production.,3b8c368e11224c5b3936b1c23919d753fd350ae76df7b4f2216b4327e7840923
nw-7e8e87345b11,michael,Specialized Globe,source,Animated GIF,assets/source/michael/michael_specialized_globe.gif,,gif,1500,1500,,1500×1500; 3.0 s; 6 frames,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/8527f002-8e20-4777-a59a-d4dae847d8c3/2022-9-25-SPECIALIZED-GLOBE0812.gif,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Project label is filename-derived. Source GIF is retained.,f5913fd898d4284c0b9f6b236c90af643b810f6b36f9ffe87db09f40d7c50bac
nw-b5c8283b6496,michael,Specialized Globe,source,working MP4 extract,assets/source/michael/michael_specialized_globe_clip.mp4,,h264,1080,1080,6.000000,1080×1080; 6.0 s,https://newwork.agency/,https://images.squarespace-cdn.com/content/v1/62a2b5a7ed430f307ef60a37/8527f002-8e20-4777-a59a-d4dae847d8c3/2022-9-25-SPECIALIZED-GLOBE0812.gif,Six-second silent H.264 loop derived from the public GIF above,owner-review;replace-with-approved-master,prototype-only,Working web extract; request the original master for production.,6fff33884e0a78bb44898280a9ed9df898775d4246a92852a4f4674742e65c13
nw-d7ff0d2be9b6,michael,,source,image,assets/source/michael/portfolio-expansion/michael-8023156-uniform-portrait.webp,,webp,2500,3125,,,,,,owner-review;replace-with-approved-master,prototype-only,,ee7c0a13716e41dd576a4424f35d16af516a7a57125eaf160246d6cee8c965c0
